index,storeName,placeId,address,category,phone,googleUrl,ratingText,latitude,longitude,stars,numberOfReviews
66,Xie Xie Boba Keputih,ChIJUfLIZdz71y0RQpevihgRKTk,Jl. Kejawan Gebang No.16,Bubble Tea,"",https://www.google.com/maps/place/Xie+Xie+Boba+Keputih/data=!4m7!3m6!1s0x2dd7fbdc65c8f251:0x392911188aaf9742!8m2!3d-7.2862899!4d112.8013194!16s%2Fg%2F11qphk2y54!19sChIJUfLIZdz71y0RQpevihgRKTk?authuser=0&hl=id&rclk=1,"",-7.2862899,112.8013194,"",""
67,Avere cafe,ChIJ6c8BeaX71y0RiEsKuU9mPSE,Jl. Ngagel Jaya Barat No.52,Kafe,"",https://www.google.com/maps/place/Avere+cafe/data=!4m7!3m6!1s0x2dd7fba57901cfe9:0x213d664fb90a4b88!8m2!3d-7.2922301!4d112.7515374!16s%2Fg%2F11rhwf6m4y!19sChIJ6c8BeaX71y0RiEsKuU9mPSE?authuser=0&hl=id&rclk=1,"4,4 bintang 409 Ulasan",-7.2922301,112.7515374,4.4,409
68,Dexter Cafe,ChIJ04GoZNL51y0RnVPPHp4TAF8,,Kafe,"",https://www.google.com/maps/place/Dexter+Cafe/data=!4m7!3m6!1s0x2dd7f9d264a881d3:0x5f00139e1ecf539d!8m2!3d-7.2592005!4d112.8080027!16s%2Fg%2F11g15fsfb_!19sChIJ04GoZNL51y0RnVPPHp4TAF8?authuser=0&hl=id&rclk=1,"4,5 bintang 104 Ulasan",-7.2592005,112.8080027,4.5,104
69,Kava coffee,ChIJq7OU9Fn51y0R9qMJKeObiiY,"Jl. Kalijudan Indah VI No.21, RT.002/RW.01",Kedai Kopi,"",https://www.google.com/maps/place/Kava+coffee/data=!4m7!3m6!1s0x2dd7f959f494b3ab:0x268a9be32909a3f6!8m2!3d-7.262655!4d112.7780432!16s%2Fg%2F11h57h6z4r!19sChIJq7OU9Fn51y0R9qMJKeObiiY?authuser=0&hl=id&rclk=1,"5,0 bintang 9 Ulasan",-7.262655,112.7780432,5,9
70,EL Corner Cafe & Resto,ChIJyTqe36r71y0RjyHzkei4fxw,Jl. Raya Pandugo No.70,Kafe,"",https://www.google.com/maps/place/EL+Corner+Cafe+%26+Resto/data=!4m7!3m6!1s0x2dd7fbaadf9e3ac9:0x1c7fb8e891f3218f!8m2!3d-7.321646!4d112.7868171!16s%2Fg%2F11l2klkd8y!19sChIJyTqe36r71y0RjyHzkei4fxw?authuser=0&hl=id&rclk=1,"4,7 bintang 31 Ulasan",-7.321646,112.7868171,4.7,31
71,Cafe DW - San Antonio,ChIJgyQtwWP71y0RgnF3dwtJdV0,Jalan San Antonio No.58 N 1,Restoran,"",https://www.google.com/maps/place/Cafe+DW+-+San+Antonio/data=!4m7!3m6!1s0x2dd7fb63c12d2483:0x5d75490b77777182!8m2!3d-7.2655202!4d112.8047839!16s%2Fg%2F11q3tbtnkw!19sChIJgyQtwWP71y0RgnF3dwtJdV0?authuser=0&hl=id&rclk=1,"4,2 bintang 32 Ulasan",-7.2655202,112.8047839,4.2,32
72,Seblak Resek Keputih,ChIJCwAj2r371y0RxKCSXyLtT_Y,Jl. Arief Rahman Hakim No.53,Kafe,Jl. Arief Rahman Hakim No.53,https://www.google.com/maps/place/Seblak+Resek+Keputih/data=!4m7!3m6!1s0x2dd7fbbdda23000b:0xf64fed225f92a0c4!8m2!3d-7.2899771!4d112.7989025!16s%2Fg%2F11gxmvxn1_!19sChIJCwAj2r371y0RxKCSXyLtT_Y?authuser=0&hl=id&rclk=1,"3,0 bintang 1 Ulasan",-7.2899771,112.7989025,3,1
73,Republika Cafe & Resto,ChIJF1Jn4z_71y0R1VSUJ72iFRo,,Kafe,"",https://www.google.com/maps/place/Republika+Cafe+%26+Resto/data=!4m7!3m6!1s0x2dd7fb3fe3675217:0x1a15a2bd279454d5!8m2!3d-7.315972!4d112.780663!16s%2Fg%2F11k6tgr2_6!19sChIJF1Jn4z_71y0R1VSUJ72iFRo?authuser=0&hl=id&rclk=1,"4,3 bintang 1.856 Ulasan",-7.315972,112.780663,4.3,1.856
74,Roti Bakar petrock,ChIJe1CQnUL71y0RjR_1DhnI03g,Jl. Gebang Lor No.65,Kafe,"",https://www.google.com/maps/place/Roti+Bakar+petrock/data=!4m7!3m6!1s0x2dd7fb429d90507b:0x78d3c8190ef51f8d!8m2!3d-7.280869!4d112.7878996!16s%2Fg%2F11f5vccg_t!19sChIJe1CQnUL71y0RjR_1DhnI03g?authuser=0&hl=id&rclk=1,"4,8 bintang 8 Ulasan",-7.280869,112.7878996,4.8,8
75,Upper Room Cafe & Resto,ChIJwVCGeP_61y0R8LDb1OUTeuM,,Kafe,"",https://www.google.com/maps/place/Upper+Room+Cafe+%26+Resto/data=!4m7!3m6!1s0x2dd7faff788650c1:0xe37a13e5d4dbb0f0!8m2!3d-7.3065735!4d112.7657903!16s%2Fg%2F11g9dt89lj!19sChIJwVCGeP_61y0R8LDb1OUTeuM?authuser=0&hl=id&rclk=1,"4,5 bintang 223 Ulasan",-7.3065735,112.7657903,4.5,223
76,Cafe,ChIJ1wZrrb371y0RDtnyhYgLBtU,Jl. Dr. Ir. H. Soekarno No.232,Bar,"",https://www.google.com/maps/place/Cafe/data=!4m7!3m6!1s0x2dd7fbbdad6b06d7:0xd5060b8885f2d90e!8m2!3d-7.30132!4d112.7813887!16s%2Fg%2F11jt16k1l2!19sChIJ1wZrrb371y0RDtnyhYgLBtU?authuser=0&hl=id&rclk=1,"",-7.30132,112.7813887,"",""
